Distrito,CABECERA DEL DISTRITO,MUNICIPIOS,SECCIÓN,TOTAL PADRÓN,TOTAL LISTA NOMINAL,CP
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1282,1017,993,
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1231,919,915,
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1283,917,896,
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1294,868,859,
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1224,859,854,
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1233,844,834,
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1292,842,839,
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1293,453,451,
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1274,452,449,
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1284,379,379,
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1275,301,292,
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1253,264,261,
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1298,257,256,
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1277,255,254,
Distrito 2,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1285,817,813,
Distrito 2,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1308,637,634,
Distrito 2,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1297,512,507,
Distrito 2,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1299,496,491,
Distrito 2,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1291,480,471,
Distrito 2,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1306,402,398,
