Distrito,CABECERA DEL DISTRITO,MUNICIPIOS,SECCIÓN,TOTAL PADRÓN,TOTAL LISTA NOMINAL,CP,ENCUESTAS_ASIGNADAS
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,310,13372,13293,39907.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,172,1200,1191,39529.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,328,1124,1057,39885.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,116,2008,1989,39715.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,258,818,813,,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,366,580,579,39665.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,289,1140,1130,,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,34,976,973,39550.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,314,470,469,39920.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,178,1358,1352,39715.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,175,1269,1262,39715.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,86,934,928,39300.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,196,957,951,39620.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,205,877,872,39715.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,47,1008,1004,39540.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,131,1492,1483,39640.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,192,2276,2268,39510.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,329,817,814,39922.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,322,754,622,39920.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,206,1237,1231,39715.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,60,980,975,,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,218,1019,1014,,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,302,2101,2084,,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,53,1297,1287,39580.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,277,1663,1650,,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,250,839,834,,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,82,449,447,39300.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,137,1056,1053,39715.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,256,4744,4714,,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,367,713,711,39931.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,70,1026,1024,39480.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,274,1337,1330,,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,117,3614,3589,39721.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,29,1643,1636,39540.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,92,696,692,39480.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,112,2919,2910,39700.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,233,1306,1300,39610.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,269,945,936,,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,153,1420,1415,39715.0,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,309,999,988,39907.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,36,1558,1551,39550.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,32,977,975,39460.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,45,964,962,39550.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,2801,2012,1996,39740.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,14,648,645,39422.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,272,1406,1396,,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,276,1200,1188,,10
